id,gnome_id,formula,energy,status
1,GNoME_398928,Gd12N48Nb8W11Zn1,-868.3391,screened
2,GNoME_192791,Gd12Hf8Mo12N48,-861.9466,screened
3,GNoME_389906,Gd12N48Re12Zr8,-859.2714,screened
4,GNoME_358419,Mo12N48Nb5Pu12Ta3,-852.9404,rejected_radioactive
5,GNoME_451954,Cr8Gd12N48Re12,-846.6232,screened
6,GNoME_80973,Gd12N48Nb4Re12Ru4,-844.3862,screened
7,GNoME_319407,Gd12Mo4N48Re12Ru4,-841.1112,screened
8,GNoME_462676,Gd12Ho8N48Re12,-828.64,screened
9,GNoME_66322,Gd12N48Nb8Tc12,-827.9175,rejected_radioactive
10,GNoME_504930,Gd12Mg4Mo4N48Re12,-821.5026,screened
